lhs,rhs
14,65
8,65
57,65
29,65
63,65
8,14
22,59
12,59
35,59
51,53
13,53
48,53
9,53
31,53
50,54
41,54
50,54
46,100
58,100
55,100
32,100
23,88
70,88
74,88
68,88
9,54
51,54
27,54
65,72
46,72
19,72
61,72
53,72
33,72
46,72
15,72
23,75
41,50
40,93
80,93
90,93
62,93
59,93
87,93
74,93
66,93
7,93
52,93
56,93
50,93
47,93
39,93
12,57
41,57
19,81
45,81
5,81
9,34
3,34
4,34
73,95
20,95
23,95
16,95
7,95
66,95
66,95
53,95
12,22
10,76
67,76
18,76
34,76
51,76
17,28
25,28
74,87
66,87
7,87
52,87
56,87
50,87
47,87
39,87
40,70
4,70
45,70
69,70
10,70
41,70
30,70
55,70
53,78
70,78
51,78
13,78
48,78
9,78
31,78
8,95
18,95
93,95
58,95
16,73
55,73
53,70
51,70
13,70
48,70
9,70
31,70
11,27
9,27
53,66
3,87
74,87
22,87
65,87
50,96
70,96
6,96
17,96
31,52
19,52
18,52
66,71
46,65
19,65
61,65
53,65
33,65
46,65
15,65
21,91
68,91
35,91
51,91
53,91
66,74
7,74
52,74
56,74
50,74
47,74
39,74
13,54
44,54
20,73
23,73
16,73
7,73
30,89
51,89
63,89
11,89
33,34
24,34
7,34
24,53
25,53
7,53
3,53
46,76
8,76
17,76
47,76
50,54
53,71
24,71
25,71
7,71
3,71
11,30
60,98
73,98
3,98
36,77
32,77
72,77
33,77
29,77
36,77
57,71
41,71
8,55
49,55
46,55
8,43
32,36
33,36
29,36
29,66
62,66
10,14
5,16
15,16
11,16
3,60
1,57
9,57
4,40
10,40
30,40
8,18
66,95
66,95
53,95
40,80
62,80
59,80
41,57
24,33
7,33
55,96
8,96
49,96
46,96
47,66
64,66
42,66
44,66
4,43
31,43
6,43
39,43
19,46
33,46
15,46
30,51
11,51
62,86
40,86
43,74
53,74
4,74
31,74
6,74
63,74
39,74
58,74
34,40
9,40
3,40
37,40
4,40
34,45
33,45
24,45
7,45
40,45
4,45
10,45
41,45
30,45
50,52
31,52
36,52
27,50
11,50
9,50
1,91
57,91
9,91
7,66
52,66
56,66
50,66
47,66
39,66
28,46
20,85
77,85
36,85
44,85
34,100
40,100
9,100
3,100
37,100
52,100
89,100
4,100
71,100
24,49
25,49
45,49
11,49
32,46
27,53
50,53
11,53
9,53
5,19
31,67
7,38
28,38
7,24
10,67
18,67
34,67
51,67
43,53
4,53
31,53
6,53
39,53
68,90
39,90
1,100
57,100
91,100
9,100
3,66
53,66
65,66
3,74
22,74
65,74
4,84
8,84
60,84
40,84
57,84
70,84
72,84
74,84
11,24
21,42
13,42
22,42
20,77
36,77
44,77
76,100
10,100
67,100
18,100
87,100
89,100
34,100
87,100
51,100
26,81
56,81
49,81
66,91
47,91
64,91
42,91
44,91
70,91
39,54
24,28
19,28
75,85
78,85
84,85
23,85
12,31
7,24
3,24
34,54
12,54
19,54
43,54
1,54
16,20
7,20
19,31
18,31
26,82
81,82
56,82
49,82
71,86
57,86
81,86
41,86
42,60
43,75
50,75
8,75
54,75
45,75
52,70
50,70
53,70
31,70
66,70
61,70
36,70
59,70
40,90
80,90
62,90
59,90
53,95
71,95
24,95
25,95
7,95
82,95
3,95
39,68
7,72
38,72
28,72
59,72
24,25
11,25
54,57
9,57
51,57
27,57
24,25
7,25
3,25
26,56
49,56
28,46
13,51
48,51
9,51
31,51
37,98
37,67
28,67
65,67
56,67
42,47
44,47
30,51
46,54
46,54
28,54
20,23
16,23
7,23
57,92
37,92
57,92
79,92
75,90
85,90
78,90
